rank,distro,hpd,abiword,alsa,ati,bash,bind,chromi,cups,dhcp,e2fsprogs,firefox,freetype,gcc,gimp,glibc,Gnome-she,gnucash,gnumeric,grub,gtk+,httpd,inkscape,k3b,Kde-work,kmod,libgnome,libreoffice,linux,Lxde-common,mariadb,Mate-desk,mesa,mysql,nautilus,nvidia,openbox,openjdk,openssh,openssl,perl,php,plasma,postfix,posetgresql,python,qt,samba,systemd,thunderbird,vim,vlc,xfdesktop,xorg,
32,slackware,361,1,7,1,4,6,1,15,9,6,26,13,15,5,8,1,1,1,4,25,7,1,3,8,10,1,1,29,1,8,1,29,1,1,1,1,1,14,14,14,11,1,1,1,4,9,25,1,15,6,1,7,21,0
33,peppermint,359,1,4,1,4,1,14,10,5,9,1,8,1,1,5,1,1,1,9,10,1,1,1,1,3,1,1,10,1,1,1,7,1,1,1,1,1,8,7,10,1,1,1,1,7,1,18,2,1,1,6,1,9,0
34,antergos,355,1,6,1,4,1,20,1,10,6,1,13,15,1,8,12,1,1,9,24,1,1,1,1,9,4,1,40,1,1,1,28,1,9,1,1,1,1,19,14,1,1,1,1,13,1,25,12,1,1,1,1,20,0
35,tails,342,1,2,1,3,9,1,7,1,7,18,6,3,6,1,1,1,1,5,27,1,3,1,1,12,4,2,13,1,1,1,1,1,12,1,1,7,4,4,5,1,1,1,1,1,4,1,1,1,5,1,1,4,0
36,q4os,340,1,6,1,4,1,13,14,9,6,1,8,11,1,5,1,1,1,9,1,1,1,1,1,9,1,1,27,1,1,1,7,1,1,7,1,1,10,19,13,1,1,1,1,9,9,14,8,1,6,1,1,18,0
37,kubuntu,331,1,6,1,4,1,1,16,8,5,25,8,1,1,7,1,1,1,9,22,1,1,3,1,9,1,20,35,1,1,1,25,1,1,1,1,1,12,19,13,1,6,1,1,9,14,14,10,1,6,1,1,18,0
38,robolinux,330,1,5,1,4,1,11,12,8,5,9,8,11,4,5,1,1,1,9,18,1,5,1,1,6,4,10,13,1,1,1,7,1,7,1,1,12,10,11,13,1,1,1,1,9,8,1,4,10,6,10,1,16,0
39,sparky,301,1,6,1,4,1,1,16,10,6,17,12,16,4,5,1,1,1,9,12,1,1,2,1,9,4,18,33,4,1,4,22,1,1,1,6,13,12,19,13,1,5,1,1,9,14,14,11,10,6,10,7,18,0
40,vector,290,2,3,1,3,3,1,8,1,9,8,11,3,4,6,1,1,3,4,6,1,1,1,1,6,4,1,17,1,1,1,16,1,1,1,1,1,10,13,6,1,1,1,1,8,9,20,1,1,6,1,5,15,0
41,redhat,282,1,4,1,3,11,1,9,6,9,6,2,6,3,3,15,1,1,5,29,8,4,2,2,2,4,5,3,1,12,1,37,1,13,1,1,15,8,6,7,5,1,2,2,7,7,12,3,1,6,1,1,8,0
42,gentoo,271,5,6,6,4,6,21,15,1,6,26,13,12,4,8,13,5,8,9,25,7,6,3,1,9,4,21,42,3,10,6,1,13,11,13,6,1,14,19,14,17,7,13,9,13,17,25,13,16,6,10,7,20,0
43,knoppix,270,1,6,1,4,12,18,16,10,6,26,12,16,4,5,12,1,8,2,24,7,6,2,1,9,4,23,37,4,1,1,28,8,11,1,1,14,10,19,13,11,6,1,1,9,17,15,12,15,6,10,1,19,0
44,tinycore,265,1,1,1,1,1,1,1,1,5,1,1,10,1,6,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0
